date,title,url,change,compare_base,index_value,basket_index,products,event,vegetable_price,pork_price,beef_price,mutton_price,egg_price,chicken_price,fish_price,apple_price,banana_price,year,month,day,weekday,quarter,day_of_year,ma_7,ma_15,ma_30,change_percent,volatility,index_value_scaled
2023-10-26,"10月26日：""农产品批发价格200指数""比昨天上升1.70个点",https://www.agri.cn/V20/ZX/nyyw/2023/10/t20231026_18550727.htm,1.7,昨天,570.9,577.75,"{'vegetable': {'name': '蔬菜', 'price': 6.03, 'change_percent': -0.0, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 23.59, 'change_percent': 0.8, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 80.3, 'change_percent': 0.5, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 72.28, 'change_percent': 1.5, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 11.26, 'change_percent': -3.3, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 19.16, 'change_percent': -0.9, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 14.72, 'change_percent': 2.6, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 9.99, 'change_percent': 1.1, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.39, 'change_percent': -0.8, 'unit': '元/公斤'}}",,6.03,23.59,80.3,72.28,11.26,19.16,14.72,9.99,6.39,2023,10,26,3,4,299,570.9,570.9,570.9,0.2977754422841128,,4.300114236171439
2023-10-27,"10月27日：""农产品批发价格200指数""比昨天上升16.58个点",https://www.agri.cn/V20/ZX/nyyw/2023/10/t20231027_19177583.htm,16.58,昨天,569.2,576.03,"{'vegetable': {'name': '蔬菜', 'price': 6.11, 'change_percent': 1.4, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 24.05, 'change_percent': 2.8, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 80.42, 'change_percent': 0.7, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 72.21, 'change_percent': 1.4, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 11.48, 'change_percent': -1.4, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 19.68, 'change_percent': 1.8, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 14.4, 'change_percent': 0.3, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.37, 'change_percent': 5.0, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.47, 'change_percent': 0.4, 'unit': '元/公斤'}}",,6.11,24.05,80.42,72.21,11.48,19.68,14.4,10.37,6.47,2023,10,27,4,4,300,570.05,570.05,570.05,2.912860154602951,10.521748904055826,4.285023661002054
2023-10-28,"10月28日：""农产品批发价格200指数""比昨天上升16.10个点",https://www.agri.cn/V20/ZX/nyyw/2023/10/t20231028_31742793.htm,16.1,昨天,552.62,559.25,"{'vegetable': {'name': '蔬菜', 'price': 6.17, 'change_percent': 2.4, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 24.24, 'change_percent': 3.6, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 82.15, 'change_percent': 2.9, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 71.55, 'change_percent': 0.5, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 11.87, 'change_percent': 2.0, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 20.14, 'change_percent': 4.1, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 14.37, 'change_percent': 0.2, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.33, 'change_percent': 4.6, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.56, 'change_percent': 1.8, 'unit': '元/公斤'}}",,6.17,24.24,82.15,71.55,11.87,20.14,14.37,10.33,6.56,2023,10,28,5,4,301,564.24,564.24,564.24,2.9133943758821617,8.455814567503241,4.1378461690559325
2023-10-29,"10月29日：""农产品批发价格200指数""比昨天上升13.82个点",https://www.agri.cn/V20/ZX/nyyw/2023/10/t20231029_66120922.htm,13.82,昨天,536.52,542.96,"{'vegetable': {'name': '蔬菜', 'price': 6.14, 'change_percent': 1.9, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 23.84, 'change_percent': 1.9, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 81.2, 'change_percent': 1.7, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 71.95, 'change_percent': 1.0, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 12.12, 'change_percent': 4.1, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 19.54, 'change_percent': 1.1, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 14.45, 'change_percent': 0.7, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.31, 'change_percent': 4.3, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.4, 'change_percent': -0.7, 'unit': '元/公斤'}}",,6.14,23.84,81.2,71.95,12.12,19.54,14.45,10.31,6.4,2023,10,29,6,4,302,557.31,557.31,557.31,2.5758592410348173,7.004255849124874,3.994929545392931
2023-10-30,"10月30日：""农产品批发价格200指数""比昨天上升9.88个点",https://www.agri.cn/V20/ZX/nyyw/2023/10/t20231030_27241256.htm,9.88,昨天,522.7,528.97,"{'vegetable': {'name': '蔬菜', 'price': 6.23, 'change_percent': 3.3, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 23.79, 'change_percent': 1.7, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 81.94, 'change_percent': 2.6, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 72.77, 'change_percent': 2.2, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 11.79, 'change_percent': 1.2, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 19.23, 'change_percent': -0.5, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 14.41, 'change_percent': 0.4, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.0, 'change_percent': 1.3, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.73, 'change_percent': 4.4, 'unit': '元/公斤'}}",,6.23,23.79,81.94,72.77,11.79,19.23,14.41,10.0,6.73,2023,10,30,0,4,303,550.388,550.388,550.388,1.89018557489956,6.143002523196618,3.8722520460747534
2023-10-31,"10月31日：""农产品批发价格200指数""比昨天上升2.88个点",https://www.agri.cn/V20/ZX/nyyw/2023/10/t20231031_30297078.htm,2.88,昨天,512.82,518.98,"{'vegetable': {'name': '蔬菜', 'price': 6.04, 'change_percent': 0.2, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 23.46, 'change_percent': 0.3, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 79.73, 'change_percent': -0.1, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 70.29, 'change_percent': -1.3, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 11.72, 'change_percent': 0.6, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 19.38, 'change_percent': 0.2, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 14.66, 'change_percent': 2.2, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 9.64, 'change_percent': -2.4, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.31, 'change_percent': -2.0, 'unit': '元/公斤'}}",,6.04,23.46,79.73,70.29,11.72,19.38,14.66,9.64,6.31,2023,10,31,1,4,304,544.1266666666667,544.1266666666667,544.1266666666667,0.5616005616005615,6.550480898376851,3.784549173913856
2023-11-01,"11月1日：""农产品批发价格200指数""比昨天上升14.85个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231101_21028437.htm,14.85,昨天,509.94,516.06,"{'vegetable': {'name': '蔬菜', 'price': 6.69, 'change_percent': 2.7, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.36, 'change_percent': 0.4, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 87.64, 'change_percent': 1.7, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 79.57, 'change_percent': 3.5, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 12.66, 'change_percent': 0.7, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.21, 'change_percent': 1.6, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.74, 'change_percent': 1.6, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.77, 'change_percent': 1.0, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.97, 'change_percent': 0.2, 'unit': '元/公斤'}}",,6.69,25.36,87.64,79.57,12.66,21.21,15.74,10.77,6.97,2023,11,1,2,4,305,539.2428571428571,539.2428571428571,539.2428571428571,2.9121073067419694,6.236957057198112,3.758983964215132
2023-11-02,"11月2日：""农产品批发价格200指数""比昨天上升14.42个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231102_36245268.htm,14.42,昨天,495.09,501.03,"{'vegetable': {'name': '蔬菜', 'price': 6.74, 'change_percent': 3.6, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.52, 'change_percent': 1.1, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 87.71, 'change_percent': 1.8, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 78.58, 'change_percent': 2.2, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 12.88, 'change_percent': 2.5, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.6, 'change_percent': 3.5, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.59, 'change_percent': 0.7, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.77, 'change_percent': 1.0, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.29, 'change_percent': 4.7, 'unit': '元/公斤'}}",,6.74,25.52,87.71,78.58,12.88,21.6,15.59,10.77,7.29,2023,11,2,3,4,306,528.4128571428571,533.72375,533.72375,2.9126017491769174,4.8272653206748934,3.627163351706091
2023-11-03,"11月3日：""农产品批发价格200指数""比昨天上升14.00个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231103_61539355.htm,14.0,昨天,480.67,486.44,"{'vegetable': {'name': '蔬菜', 'price': 6.41, 'change_percent': -1.5, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.4, 'change_percent': 0.6, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 88.97, 'change_percent': 3.2, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 78.93, 'change_percent': 2.7, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 13.18, 'change_percent': 4.9, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.54, 'change_percent': 3.2, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.95, 'change_percent': 3.0, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 11.08, 'change_percent': 3.9, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 6.92, 'change_percent': -0.6, 'unit': '元/公斤'}}",,6.41,25.4,88.97,78.93,13.18,21.54,15.95,11.08,6.92,2023,11,3,4,4,307,515.7657142857144,527.8288888888889,527.8288888888889,2.9126011608796056,4.568495115357751,3.499159767034012
2023-11-04,"11月4日：""农产品批发价格200指数""比昨天上升13.59个点",https://www.agri.cn/V20/ZX/nyyw/2023/11/t20231104_51707224.htm,13.59,昨天,466.67,472.27,"{'vegetable': {'name': '蔬菜', 'price': 6.44, 'change_percent': -1.0, 'unit': '元/公斤'}, 'pork': {'name': '猪肉', 'price': 25.61, 'change_percent': 1.5, 'unit': '元/公斤'}, 'beef': {'name': '牛肉', 'price': 88.14, 'change_percent': 2.3, 'unit': '元/公斤'}, 'mutton': {'name': '羊肉', 'price': 77.87, 'change_percent': 1.3, 'unit': '元/公斤'}, 'egg': {'name': '鸡蛋', 'price': 12.52, 'change_percent': -0.4, 'unit': '元/公斤'}, 'chicken': {'name': '白条鸡', 'price': 21.3, 'change_percent': 2.1, 'unit': '元/公斤'}, 'fish': {'name': '活鲤鱼', 'price': 15.81, 'change_percent': 2.1, 'unit': '元/公斤'}, 'apple': {'name': '富士苹果', 'price': 10.67, 'change_percent': 0.1, 'unit': '元/公斤'}, 'banana': {'name': '香蕉', 'price': 7.29, 'change_percent': 4.8, 'unit': '元/公斤'}}",,6.44,25.61,88.14,77.87,12.52,21.3,15.81,10.67,7.29,2023,11,4,5,4,308,503.4871428571428,521.713,521.713,2.912122056271026,4.30974477202537,3.3748844421096633
